,Bold: ABA All-Time Team ,,HOF,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,50%,60%,70%,80%,90%,100%,110%,120%,130%,140%,150%
67-70,First Name,Last Name,Pos,TEAM,Born,1st Yr,YRS,College,PPG,REB/G,AST/G,3-PT/G,,,,,,,,,,,,,,,,,,
12 T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Les ""Big Game""",Hunter,FC,KEN Mem,Nash,67,6,Loyola (IL),13,7,2,1,,,,,,,,,,,,,,,,,,
6,"Jim ""Goose""",Ligon,FC,KEN,IN,67,7,none,13,11,2,0,,,,,,,,,,,,,,,,,,
7,"Bob ""Colonel""",Warren,G,uta san,KY,68,8,Vanderbilt (TN),9,3,2,0,,,,,,,,,,,,,,,,,,
8,Wayne,Chapman,GF,KEN,KY,68,4,Western Kentucky,7,3,2,0,,,,,,,,,,,,,,,,,,
9,Mike,Pratt,G,KEN,Dayton,70,2,Kentucky,6,3,2,0,,,,,,,,,,,,,,,,,,
10,Tom,Hagan,G,dal,KY,69,2,Vanderbilt,5,2,2,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,134,54,25,4,,,121,,,,,,,,,,,,,,,
,,,,,,,,,13.4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,120.6,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NASHVILLE,BANDITS,Pos,TEAM,Born,1st Yr,YRS,College,PPG,REB/G,AST/G,3-PT/G,,,,,,,,,,,,,,,,,,
1,Donnie,Freeman,G,MEM Dal Ind,IL,67,8,Illinois,20,4,4,0,,,,,,,,,,,,,,,,,,
2,"James ""Jimmy""",Jones,GF,MEM Uta Was,LA,67,7,Grambling,19,5,5,0,,,,,,,,,,,,,,,,,,
3,"Larry ""Brinks""",Cannon,G,DEN Mem,Philly,69,4,LaSalle,18,3,4,0,,,,,,,,,,,,,,,,,,
4,George,Lehmann,G,CAR Mem,NJ,68,6,Campbell JC (NC),14,2,5,1,,,,,,,,,,,,,,,,,,
5,Don,Sidle,FC,MEM,TX,68,4,Oklahoma,14,8,1,0,,,,,,,,,,,,,,,,,,
6,Red,Robbins,FC,NO Uta Sd,FL,67,8,Tennessee,13,11,2,0,,,,,,,,,,,,,,,,,,
7,Wilbert,Jones (bro),F,MEM Ken,AR,69,7,Albany State (GA),12,8,2,0,,,,,,,,,,,,,,,,,,
